Time (s),Temperature (°C),Send Data
1181.8905322551727,34.56,36
1182.1929619312286,34.56,36
1182.4930164813995,34.56,36
1182.7960176467896,34.66,36
1183.0982296466827,34.66,36
1183.398185491562,34.86,36
1183.7009601593018,34.76,36
1183.9996390342712,34.76,36
1184.3027138710022,34.86,36
1184.6063122749329,34.86,36
1184.9053416252136,34.86,36
1185.2081696987152,34.86,36
1185.507759809494,34.95,36
1185.8111171722412,34.95,36
1186.1097540855408,34.95,36
1186.412299156189,34.95,36
1186.7162327766418,35.05,36
1187.0151534080505,35.15,36
1187.3179199695587,35.15,36
1187.6163687705994,35.15,36
1187.9202845096588,35.15,36
1188.2230434417725,35.25,36
1188.5225551128387,35.25,36
1188.8251650333405,35.25,36
1189.124106645584,35.44,36
1189.4275903701782,35.44,36
1189.726012468338,35.34,36
1190.0295832157135,35.34,36
1190.3326227664948,35.34,36
1190.6318666934967,35.44,36
1190.9352560043335,35.44,36
1191.2333042621613,35.44,36
1191.5375187397003,35.64,36
1191.8401329517365,35.54,36
1192.1391777992249,35.54,36
1192.4426946640015,35.54,36
1192.74169588089,35.64,36
1193.044532775879,35.64,36
1193.3437917232513,35.74,36
1193.6468176841736,35.74,36
1193.9496667385101,35.74,36
1194.2488470077515,35.74,36
1194.5512952804565,35.74,36
1194.8513586521149,35.74,36
1195.1533546447754,35.74,36
1195.457014799118,35.84,36
1195.75635099411,35.84,36
1196.0588698387146,35.84,36
1196.357875585556,35.84,36
1196.661612033844,35.94,36
1196.964987039566,35.84,36
1197.263558626175,35.94,36
1197.5670490264893,35.94,36
1197.865639448166,35.94,36
1198.1687698364258,35.94,36
1198.4684674739838,35.94,36
1198.7714688777924,36.04,36
1199.0735409259796,35.94,36
1199.3731272220612,36.04,36
1199.6763544082642,36.04,36
1199.9754662513733,36.04,36
1200.2783482074738,36.04,36
1200.581683397293,36.04,36
1200.8804550170898,36.04,36
1201.183164358139,36.04,36
1201.4824068546295,36.04,36
1201.7860040664673,36.04,36
1202.0846116542816,36.04,36
1202.388324022293,36.04,36
1202.6912434101105,36.14,36
1202.990511894226,36.04,36
1203.2934710979462,36.14,36
1203.592712879181,36.14,36
1203.8957257270813,36.14,36
1204.1978583335876,36.14,36
1204.4979150295258,36.14,36
1204.8003256320953,36.14,36
1205.0996119976044,36.14,36
1205.4027915000916,36.14,36
1205.7020299434662,36.14,36
1206.0051202774048,36.24,36
1206.3083279132843,36.14,36
1206.6069893836975,36.14,36
1206.9103059768677,36.14,36
1207.2093079090118,36.14,36
1207.5125966072083,36.14,36
1207.8155310153961,36.14,36
1208.1146166324615,36.14,36
1208.4173049926758,36.14,36
1208.716271162033,36.14,36
1209.019936800003,36.24,36
1209.3190529346466,36.14,36
1209.6220858097076,36.14,36
1209.9249804019928,36.14,36
1210.224466085434,36.14,36
1210.5272552967072,36.14,36
1210.8259010314941,36.14,36
1211.1296954154968,36.14,36
1211.432739019394,36.14,36
1211.7312121391296,36.14,36
1212.0343153476715,36.24,36
1212.3340966701508,36.14,36
1212.6370384693146,36.14,36
1212.9358999729156,36.14,36
1213.238878250122,36.14,36
1213.5424740314484,36.14,36
1213.841182231903,36.14,36
1214.1442472934723,36.14,36
1214.4431664943695,36.14,36
1214.7467005252838,36.14,36
1215.049650669098,36.14,36
1215.3485038280487,36.14,36
1215.6516404151917,36.14,36
1215.9502701759338,36.14,36
1216.2536084651947,36.14,36
1216.5528893470764,36.14,36
1216.855462551117,36.24,36
1217.1586134433746,36.14,36
1217.4585554599762,36.14,36
1217.7616863250732,36.14,36
1218.0604412555695,36.14,36
1218.3627796173096,36.14,36
1218.6664383411407,36.14,36
1218.9652152061462,36.14,36
1219.2683272361755,36.14,36
1219.5677361488342,36.14,36
1219.8709845542908,36.14,36
1220.169685125351,36.14,36
1220.4734365940094,36.14,36
1220.7762506008148,36.14,36
1221.0753693580627,36.14,36
1221.3780143260956,36.14,36
1221.677426815033,36.04,36
1221.9805200099945,36.14,36
1222.2833738327026,36.14,36
1222.583125114441,36.14,36
1222.8853459358215,36.04,36
1223.1844198703766,36.04,36
1223.4875710010529,36.04,36
1223.7868990898132,36.14,36
1224.0901799201965,36.14,36
1224.3926651477814,36.04,36
1224.691908121109,36.04,36
1224.9948575496674,36.04,36
1225.2946636676788,36.04,36
1225.5974242687225,36.04,36
1225.900232553482,36.04,36
1226.1993227005005,36.14,36
1226.5023350715637,36.04,36
1226.801990032196,36.04,36
1227.104650259018,36.04,36
1227.4075253009796,36.04,36
1227.707058429718,36.04,36
1228.0100688934326,36.14,36
1228.3092918395996,36.04,36
1228.612262248993,36.04,36
1228.9114124774933,36.04,36
1229.2142033576965,36.04,36
1229.5173032283783,36.04,36
1229.8168046474457,36.04,36
1230.1189050674438,36.04,36
1230.4189097881317,36.04,36
1230.7220613956451,36.04,36
1231.0251107215881,36.04,36
1231.3241817951202,36.04,36
1231.626968383789,36.04,36
1231.9260704517365,36.04,36
1232.2289597988129,36.04,36
1232.5285248756409,36.04,36
1232.8317630290985,36.04,36
1233.134331703186,36.04,36
1233.4331638813019,36.04,36
1233.7369894981384,36.04,36
1234.0356862545013,36.14,36
1234.3386533260345,36.04,36
1234.6416728496552,36.04,36
1234.9401996135712,36.04,36
1235.2432522773743,36.04,36
1235.5435149669647,36.14,36
1235.8455212116241,36.04,36
1236.1450910568237,36.04,36
1236.4480657577515,36.04,36
1236.7508187294006,36.04,36
1237.0505244731903,36.04,36
1237.3536159992218,36.04,36
1237.6527252197266,36.04,36
1237.9554691314697,36.04,36
1238.254285812378,36.14,36
1238.5581171512604,36.04,36
1238.8612096309662,36.14,36
1239.1595141887665,36.04,36
1239.4630341529846,36.04,36
1239.7619669437408,36.04,36
1240.0652475357056,36.04,36
1240.3680534362793,36.04,36
1240.667505979538,36.04,36
1240.9703691005707,36.14,36
1241.2692666053772,36.04,36
1241.5728754997253,36.04,36
1241.8760044574738,36.04,36
1242.1745989322662,36.04,36
1242.4782400131226,35.94,36
1242.7776823043823,36.04,36
1243.0802850723267,36.04,36
1243.3789975643158,36.04,36
1243.681979894638,36.04,36
1243.9854538440704,36.04,36
1244.2839591503143,36.04,36
1244.5877327919006,36.04,36
1244.8859231472015,36.04,36
1245.1893117427826,36.04,36
1245.488694190979,36.04,36
1245.7914309501648,36.04,36
